restaurant_id,restaurant_name,region_id,category_id,price_tier,rating_avg,prep_time_avg_min,is_active,created_at,updated_at
42,Sweet Tooth,16,8,High,3.38,17,True,2022-10-17 00:00:00,2026-03-10 17:51:33.783365
43,Sugar Rush,5,8,Mid,3.88,19,False,2023-02-27 00:00:00,2026-03-10 17:51:33.783365
44,Dessert Lab,6,8,Low,3.82,13,True,2022-05-03 00:00:00,2026-03-10 17:51:33.783365
45,Candy Corner,13,8,Low,3.6,16,True,2020-07-24 00:00:00,2026-03-10 17:51:33.783365
46,Cake House,9,8,High,4.8,15,True,2022-05-20 00:00:00,2026-03-10 17:51:33.783365
47,Treats & Sweets,16,8,High,3.67,17,True,2020-05-28 00:00:00,2026-03-10 17:51:33.783365
48,Green Bowl,8,9,High,4.8,10,True,2019-04-19 00:00:00,2026-03-10 17:51:33.783365
49,Fresh Kitchen,16,9,High,3.25,12,True,2022-10-23 00:00:00,2026-03-10 17:51:33.783365
50,Salad Bar,10,9,High,4.26,11,True,2021-11-30 00:00:00,2026-03-10 17:51:33.783365
51,Fit Meals,15,9,Low,3.7,17,True,2020-06-19 00:00:00,2026-03-10 17:51:33.783365
52,Clean Eats,18,9,High,3.23,10,False,2023-12-08 00:00:00,2026-03-10 17:51:33.783365
53,Veggie House,13,9,Mid,3.73,16,True,2019-03-15 00:00:00,2026-03-10 17:51:33.783365
54,Shawarma King,18,10,High,4.66,12,True,2019-12-03 00:00:00,2026-03-10 17:51:33.783365
55,Wrap Station,5,10,Mid,4.42,15,True,2022-03-11 00:00:00,2026-03-10 17:51:33.783365
56,Levant Kitchen,18,10,High,4.12,15,True,2023-10-16 00:00:00,2026-03-10 17:51:33.783365
57,Shawarma House,2,10,Mid,3.65,17,False,2022-06-17 00:00:00,2026-03-10 17:51:33.783365
58,Rolling Grill,10,10,Mid,3.3,17,True,2023-09-11 00:00:00,2026-03-10 17:51:33.783365
